#{"t_start": 1778803850.4670432, "env_id": "None"}
r,l,t
29.339336,225,29610.26132
120.646862,1182,29731.954174
32.713466,198,29753.267997
134.197677,616,29816.864203
10.19977,133,29831.589721
142.018584,661,29899.785579
156.535635,833,29985.412341
104.87847,1500,30139.335441
43.447698,1500,30292.642226
45.018767,241,30318.349521
29.415041,236,30343.503668
149.169701,1107,30457.671388
62.204595,381,30497.534157
96.674547,347,30533.942095
101.325956,703,30606.406672
165.700365,1028,30711.775516
60.656931,462,30759.87535
51.995015,1500,30913.79485
155.218865,1224,31039.056666
24.942365,145,31055.006384
53.5988,556,31112.582175
82.380486,1373,31252.86251
48.412382,264,31280.847851
45.597762,220,31305.095192
73.406809,432,31350.13685
149.520566,1145,31467.327886
12.09713,140,31482.788563
118.337552,544,31539.139307
29.393227,189,31559.568014
36.75319,1267,31689.169588
136.425157,710,31763.02562
78.529395,485,31813.411487
33.620324,202,31835.158086
70.249056,1500,31988.246544
56.54183,259,32015.779665
26.028994,161,32033.361355
126.119584,553,32090.654771
77.196006,1500,32243.241792
61.403471,292,32274.104301
23.178748,165,32292.115689
115.621048,588,32352.929825
58.998403,395,32394.191319
22.959511,164,32412.105891
51.528926,506,32464.610166
149.024415,1500,32618.407593
120.462043,494,32669.697877
74.026417,443,32715.824381
52.720946,566,32774.446157
65.831744,489,32825.250634
149.859452,874,32915.03094
11.452919,141,32930.584918
83.833591,921,33025.774707
30.878188,180,33045.275243
95.693537,776,33125.14437
56.748739,265,33153.278592
149.302402,874,33242.99016
48.031179,1500,33396.261185
51.879257,308,33429.474344
132.968721,558,33487.233317
22.361081,168,33505.515221
26.203352,180,33525.039013
50.565987,228,33549.415931
125.517432,554,33606.77335
48.770678,239,33632.274042
51.429378,284,33662.298781
46.943875,349,33698.935166
29.005308,186,33719.072932
90.45769,1262,33848.096381
29.483097,1500,34002.046445
60.584162,425,34046.344698
13.92327,151,34062.913002
25.164586,150,34079.40011
58.583876,608,34142.223797
28.124157,181,34161.836274
36.282904,180,34181.369276
15.102049,114,34194.205577
92.013694,1500,34348.128577
79.527153,512,34401.256119
119.080803,900,34493.630783
9.23422,130,34508.053538
63.543672,415,34551.362676
37.890382,373,34590.426916
93.577235,816,34673.365661
25.164644,175,34692.423251
79.957874,481,34743.097011
159.718689,1262,34872.106803
14.74565,83,34881.789573
74.083362,309,34914.397667
38.321797,523,34968.696943
26.605071,157,34985.87466
44.49996,201,35007.542408
41.36781,444,35053.77851
35.9909,207,35076.017869
-2.452249,54,35082.756142
34.939051,468,35132.126015
130.362415,639,35198.120387
150.858019,1248,35325.786063
152.382765,974,35425.690189
63.770462,1379,35567.396082
69.651767,1500,35720.408198
51.132286,626,35785.182288
220.097606,1500,35938.670821
207.640327,1500,36092.77058
111.753603,560,36150.797939
128.17846,661,36218.99219
25.544302,153,36235.769969
75.571356,482,36285.870221
56.408738,263,36313.775249
114.639785,794,36396.133247
63.71143,325,36430.314535
68.270018,543,36486.587038
150.00929,899,36579.03172
48.126879,235,36604.12285
74.253777,395,36645.432912
49.521913,253,36672.349662
57.049811,422,36715.132987
130.24861,612,36778.420626
79.5913,653,36846.976123
130.400696,508,36899.678504
95.332397,758,36977.741445
115.837393,360,37015.484681
60.747772,335,37050.707613
30.818081,195,37071.755024
56.082785,305,37103.918226
40.489092,246,37130.155117
5.842324,880,37220.609158
150.744629,683,37291.731891
26.315118,182,37311.437905
54.360045,1500,37464.685991
204.747289,1500,37617.882446
69.770977,1500,37771.790176
10.420142,595,37833.41772
57.187258,557,37891.107522
49.561547,243,37916.964726
65.421904,306,37949.252152
43.281223,245,37975.35254
70.230559,1500,38129.102947
251.235986,1500,38282.30637
25.069273,150,38298.791871
112.897258,1375,38439.391913
26.111478,147,38455.546153
121.535117,507,38508.179615
124.66901,541,38565.302493
94.230671,813,38648.923083
53.902218,275,38678.052882
