#{"t_start": 1778746065.50545, "env_id": "None"}
r,l,t
117.090097,406,31145.219176
122.453804,444,31191.487362
120.000698,435,31236.815407
120.596675,424,31281.028017
120.772848,427,31325.550233
120.740708,445,31371.897201
122.936632,457,31419.471272
119.589558,437,31465.042343
120.27223,427,31509.577353
121.313095,431,31555.199237
122.96025,454,31602.464344
120.224946,422,31646.534756
121.976661,428,31691.189203
120.565921,434,31736.449282
120.466337,434,31781.693244
121.31702,431,31826.637398
121.365307,426,31871.067081
118.774978,552,31928.263898
120.529075,420,31972.844157
120.570607,492,32023.907153
119.778092,421,32067.824219
120.464842,426,32112.287272
120.494421,429,32157.023622
119.596127,429,32201.74392
120.841431,420,32245.561239
120.793344,429,32290.254084
122.664687,438,32335.870442
120.148612,432,32380.892942
121.090751,423,32425.732877
121.753228,442,32471.80599
120.191739,425,32516.102714
132.962105,656,32583.839084
122.745014,433,32628.955277
119.986896,428,32673.607346
119.655007,419,32717.34716
120.786268,419,32761.047359
120.32723,425,32805.380854
118.29261,416,32849.502288
119.85995,419,32893.239756
121.532376,424,32937.437237
122.089341,430,32982.279282
119.70643,420,33026.087717
122.190834,431,33071.005943
120.111239,425,33115.310523
121.06301,418,33158.942177
121.300549,431,33203.864381
120.843056,430,33248.686503
119.054861,407,33291.912115
122.801448,426,33336.324676
122.958831,427,33380.807666
122.663247,416,33424.211297
124.039741,444,33470.428784
121.183563,419,33514.135201
121.467648,421,33558.04784
120.70534,417,33601.5109
123.686496,448,33648.116235
121.455838,428,33693.433362
120.569684,418,33737.018891
121.697763,427,33781.506873
122.182013,437,33827.058554
121.182852,417,33870.580719
122.459149,432,33915.593386
121.395855,417,33959.103584
119.758399,414,34002.34047
120.270845,422,34046.367314
121.015813,423,34090.455248
119.372914,414,34134.469888
120.972056,419,34178.196918
120.454327,415,34221.503823
122.212601,427,34266.023038
122.765597,438,34311.634217
121.325785,426,34356.019575
120.945971,415,34399.294802
121.872167,424,34443.486499
122.570117,421,34487.390098
120.6829,423,34531.474519
130.730399,534,34587.514489
123.735295,436,34632.929996
121.334169,412,34675.911542
121.142258,420,34719.704622
123.230993,436,34765.136922
122.908332,433,34810.249818
119.599223,419,34853.950686
120.457243,420,34897.746995
121.689127,416,34941.149091
119.598845,417,34985.36222
123.231895,436,35030.775361
121.604913,415,35074.063643
121.222719,413,35117.142634
120.941783,422,35161.141577
120.387237,412,35204.157452
119.297881,414,35247.340722
120.180502,415,35290.648229
120.105746,430,35335.486133
120.235244,415,35378.770499
121.97319,416,35422.850495
120.437976,414,35466.039984
120.031491,416,35509.4579
120.802495,418,35553.091625
122.38333,426,35597.501783
122.454111,422,35641.509449
122.427495,441,35687.424016
121.341477,415,35730.70254
120.604359,416,35774.096177
121.882192,427,35818.589505
120.075865,405,35861.63564
120.947735,412,35904.614516
121.416093,418,35948.194757
123.669319,418,35991.827497
120.696684,406,36034.218184
121.033946,417,36077.709724
121.013834,413,36120.802549
120.685194,425,36165.143243
120.462601,405,36207.419104
119.744005,403,36250.207397
122.007342,423,36294.311227
121.473348,415,36337.614254
120.742686,401,36379.508515
558.907274,3000,36685.498588
119.491619,412,36728.53713
120.560834,415,36771.821027
120.702904,421,36815.739264
120.859387,412,36858.70629
120.905516,413,36901.804744
121.008177,407,36944.536467
120.488997,415,36988.697965
120.715217,414,37032.294241
120.681328,408,37076.204645
118.453758,390,37118.937064
119.761954,412,37162.621093
121.305597,424,37207.855609
121.086443,413,37251.690058
120.541743,423,37295.853322
